"Crater Name","Location","Latitude","Longitude","Diameter (km)","Age (Ma)*","Exposed","Drilled","Target Rock**","Bolide Type***"
"Acraman","South Australia","S 32° 1'","E 135° 27'","90","~ 590","Y","N","C","Chondrite"
"Amelia Creek","Australia","S 20° 55'","E 134° 50'","~20","1640 - 600","Y","N","M","-"
"Ames","Oklahoma, U.S.A.","N 36° 15'","W 98° 12'","16","470 ± 30","N","Y","M","-"
"Amguid","Algeria","N 26° 5'","E 4° 23'","0.45",NA,"Y","N","S","-"
"Aorounga","Chad","N 19° 6'","E 19° 15'","12.6",NA,"Y","N","S","-"
"Aouelloul","Mauritania","N 20° 15'","W 12° 41'","0.39","3.0 ± 0.3","Y","N","S","Iron (IIIB, IIID?)"
"Araguainha","Brazil","S 16° 47'","W 52° 59'","40","254.7 ± 2.5","Y","N","M","-"
"Avak","Alaska, U.S.A.","N 71° 15'","W 156° 38'","12","3-95","N","Y","S","-"
"Barringer","Arizona, U.S.A.","N 35° 2'","W 111° 1'","1.18","0.049 ± 0.003","Y","Y","S","IAB"
"Beaverhead","Montana, U.S.A.","N 44° 36'","W 113° 0'","60","~ 600","Y","N","M","-"
"Beyenchime-Salaatin","Russia","N 71° 0'","E 121° 40'","8","40 ± 20","Y","N","S","-"
"Bigach","Kazakhstan","N 48° 34'","E 82° 1'","8","5 ± 3","Y","Y","M","-"
"Boltysh","Ukraine","N 48° 45'","E 32° 10'","24","65.17 ± 0.64","N","N","C","Chondrite"
"Bosumtwi","Ghana","N 6° 30'","W 1° 25'","10.5","1.07","Y","N","C-Ms","Chondrite? Iron?"
"Boxhole","Northern Territory","S 22° 37'","E 135° 12'","0.17","0.0054 ± 0.0015","Y","N","C","IIAB"
"B.P. Structure","Libya","N 25° 19'","E 24° 20'","2",NA,"Y","N","S","-"
"Brent","Ontario, Canada","N 46° 5'","W 78° 29'","3.8",">453 Ma","N","Y","C","Chondrite"
"Calvin","Michigan, USA","N 41° 50'","W 85° 57'","8.5","450 ± 10","N","Y","S","-"
"Campo Del Cielo","Argentina","S 27° 38'","W 61° 42'","0.05",NA,"Y","Y","M","Coarse Octahedrite to Granular Hexahedrite"
"Carancas","Peru","S 16° 40'","W 69° 03'","0.0135  km","7e-06","Y","N","S","C"
"Carswell","Saskatchewan, Canada","N 58° 27'","W 109° 30'","39","115 ± 10","Y","Y","M","-"
"Charlevoix","Quebec, Canada","N 47° 32'","W 70° 18'","54","342 ± 15*","Y","Y","M","-"
"Chesapeake Bay","Virginia, U.S.A.","N 37° 17'","W 76° 1'","40","35.5 ± 0.3","N","Y","M","-"
"Chicxulub","Yucatan, Mexico","N 21° 20'","W 89° 30'","150","64.98 ± 0.05","N","Y","M","Chondrite"
"Chiyli","Kazakhstan","N 49° 10'","E 57° 51'","5.5","46 ± 7","Y","Y","S","-"
"Chukcha","Russia","N 75° 42'","E 97° 48'","6",NA,"Y","Y","M","-"
"Clearwater East","Quebec, Canada","N 56° 5'","W 74° 7'","26","460-470","Y","Y","M","Chondrite"
"Clearwater West","Quebec, Canada","N 56° 13'","W 74° 30'","36","290 ± 20","Y","Y","M","-"
"Cloud Creek","Wyoming, USA","N 43° 7'","W 106° 45'","7","190 ± 30","N","Y","S","-"
"Colônia","Brazil","S 23° 52'","W 46° 43'","3.6",">5, <36","Y","Y","M","-"
"Connolly Basin","Western Australia","S 23° 32'","E 124° 45'","9",NA,"Y","N","S","-"
"Couture","Quebec, Canada","N 60° 8'","W 75° 20'","8","430 ± 25","Y","N","C","-"
"Crawford","Australia","S 34° 43'","E 139° 2'","8.5","> 35","Y","N","C-Ms","-"
"Crooked Creek","Missouri, U.S.A.","N 37° 50'","W 91° 23'","7","320 ± 80","Y","N","S","-"
"Dalgaranga","Western Australia","S 27° 38'","E 117° 17'","0.02","~ 0.27","Y","N","C","Stony Iron"
"Decaturville","Missouri, U.S.A.","N 37° 54'","W 92° 43'","6",NA,"Y","Y","M","-"
"Deep Bay","Saskatchewan, Canada","N 56° 24'","W 102° 59'","13","99 ± 4","N","Y","C","-"
"Dellen","Sweden","N 61° 48'","E 16° 48'","19","89.0 ± 2.7","Y","N","C","Stone?"
"Des Plaines","Illinois, U.S.A.","N 42° 3'","W 87° 52'","8",NA,"N","Y","S","-"
"Dhala","India","N 25°17' 59.7""","E 78°8' 3.1""","11","1700 - 2100","Y","Y","M","-"
"Dobele","Latvia","N 56° 35'","E 23° 15'","4.5","290 ± 35","N","Y","S","-"
"Eagle Butte","Alberta, Canada","N 49° 42'","W 110° 30'","10",NA,"N","Y","S","-"
"Elbow","Saskatchewan, Canada","N 50° 59'","W 106° 43'","8","395 ± 25","N","Y","S","-"
"El'gygytgyn","Russia","N 67° 30'","E 172° 5'","18","3.5 ± 0.5","Y","N","C","Achondrite"
"Flaxman","Australia","S 34° 37'","E 139° 4'","10","> 35","Y","N","C-Ms","-"
"Flynn Creek","Tennessee, U.S.A.","N 36° 17'","W 85° 40'","3.8","360 ± 20","Y","Y","S","-"
"Foelsche","Northern Territory","S 16° 40'","E 136° 47'","6","> 545","Y","N","M","-"
"Gardnos","Norway","N 60° 39'","E 9° 0'","5","500 ± 10","Y","N","C","Chondrite"
"Glasford","Illinois, U.S.A.","N 40° 36'","W 89° 47'","4",NA,"N","Y","S","-"
"Glikson","Australia","S 23° 59'","E 121° 34'","~19",NA,"Y","N","M","-"
"Glover Bluff","Wisconsin, U.S.A.","N 43° 58'","W 89° 32'","8",NA,"Y","Y","S","-"
"Goat Paddock","Western Australia","S 18° 20'","E 126° 40'","5.1",NA,"Y","N","S","-"
"Gosses Bluff","Northern Territory","S 23° 49'","E 132° 19'","22","142.5 ± 0.8","Y","Y","S","-"
"Gow","Saskatchewan, Canada","N 56° 27'","W 104° 29'","5",NA,"Y","N","C","Iron?"
"Goyder","Northern Territory","S 13° 28'","E 135° 2'","3",NA,"Y","N","S","-"
"Granby","Sweden","N 58° 25'","E 14° 56'","3","~ 470","N","Y","M","-"
"Gusev","Russia","N 48° 26'","E 40° 32'","3","49.0 ± 0.2","N","Y","S","-"
"Gweni-Fada","Chad","N 17° 25'","E 21° 45'","14",NA,"Y","N","S","-"
